ID,ジャンル,問題,正解,選択肢2,選択肢3,選択肢4,選択肢5,解説,ヒント
R7-11,基準点測量,新点A~E において、GNSS 測量機を用いた基準点測量を行い、新点Aから各新点までの距離及びそれぞれの楕円体高を表 11 のとおり得た。新点Aの標高を50.00 m としたとき、新点 A~ E のうち最も標高が高い点はどれか。次の1~5の中から選べ。,2. 新点B,1. 新点A,3. 新点C,4. 新点D,5. 新点E,1. A点のジオイド高 N_A = h - H = 91.40 - 50.00 = 41.40m。◆2. ジオイドの傾斜を考慮して各点のジオイド高 N を求める（距離に比例）。◆3. 各点の標高 H = h - N を計算し、比較する。◆計算の結果、B点が最も高くなる。,標高＝楕円体高ージオイド高。まず基準点のジオイド高を出してから比較。
R7-12,基準点測量,"次のa~eの文は、公共測量における水準測量について述べたものである。明らかに間違っているものだけの組合せはどれか。次の1~5の中から選べ。◆a. 1級及び2級水準測量におけるレベルの点検調整は、観測着手前及び観測期間中おおむね 10日ごとに行うものとする。◆b. 1級水準測量においては、観測の開始時,終了時及び固定点到着時ごとに、1℃単位で気温を測定するものとする。◆c. 直接水準測量の最大視準距離は、水準測量の等級区分によらず、機器の性能によって定められている。◆d. 標尺は2本1組とし、往路及び復路の観測において標尺を交換するものと定められているが、これにはレベルの視準軸の傾きに起因する誤差を消去する目的が含まれている。◆e. 1級水準測量においては、標尺の下方20cm以下を読定しないものと定められているが、これは地面付近の大気の屈折による誤差の影響を小さくするためである。","5. c, d","1. a, c","2. a, e","3. b, d","4. b, e","c: 最大視準距離は、等級によって定められています（1級:50m, 2級:60mなど）。機器性能任せではありません。◆d: 標尺の交換は「零点誤差」や「目盛誤差」を消去するためです。「視準軸の傾き（視準線誤差）」は、前後の視準距離を等しくすることで消去します。◆c, dが誤りです。",視準距離は等級で決まる。標尺交換は零点誤差のため。
R7-13,基準点測量,図13に模式的に示すように、水準点A~Dにおいて、公共測量における2級水準測量を実施し、表13の観測結果を得た。環閉合差の許容範囲を5mm√S (Sは観測距離、km単位)としたとき、再測すべき路線として最も適当なものはどれか。次の1~5の中から選べ。,5. 路線 (5),1. 路線 (1),2. 路線 (2),3. 路線 (3),4. 路線 (4),各ループの閉合差を計算します。◆許容範囲を超えているループを特定し、その中でも特に大きな閉合差の原因となっている（共通する、あるいは単独の）路線を推定します。◆計算上、路線(5)を含むループの閉合差が異常値を示しています。,ループの閉合差を計算し、許容範囲（5mm√S）を超えた犯人（路線）を探す。
R7-14,地図・GIS,"次の1~5の文は、公共測量における地形測量のうち、現地測量について述べたものである。明らかに間違っているものはどれか。次の1~5の中から選べ。◆1. 現地測量で使用する基準点は、4級基準点,簡易水準点又はこれと同等以上の精度を有する基準点とする。◆2. 現地測量で使用する機器は、3級トータルステーション又は2級 GNSS 測量機と同等以上の性能を持つものを標準とする。◆3. 基準点又はTS 点から地形を測定する場合,地性線及びジオイド高を測定し、図形編集装置によって等高線描画を行う。◆4. 現地測量により作成する数値地形図データの地図情報レベルは、原則として1000以下とする。◆5. 地形測量で測定した座標値等には、その属性を表すために原則として、分類コードを付す。","3. 基準点又はTS 点から地形を測定する場合,地性線及びジオイド高を測定し、図形編集装置によって等高線描画を行う。","1. 現地測量で使用する基準点は、4級基準点,簡易水準点又はこれと同等以上の精度を有する基準点とする。",2. 現地測量で使用する機器は、3級トータルステーション又は2級 GNSS 測量機と同等以上の性能を持つものを標準とする。,4. 現地測量により作成する数値地形図データの地図情報レベルは、原則として1000以下とする。,5. 地形測量で測定した座標値等には、その属性を表すために原則として、分類コードを付す。,現地測量（TS等）では、地形の「標高」や「位置」を測定します。「ジオイド高」を直接現地で測定することはありません（ジオイド高は計算やモデルから求めるもの）。,現地で測るのは「標高」。ジオイド高は測れない。
R7-15,地図・GIS,"次の1~5の文は、公共測量における地形測量のうち、GNSS 測量機を用いた現地測量について述べたものである。明らかに間違っているものはどれか。次の1~5の中から選べ。◆1. ネットワーク型 RTK法による地形、地物等の測定では、GPS, 準天頂衛星システム及びGLONASS を用いることができる。◆2. ネットワーク型 RTK 法による地形,地物等の測定は、ある一つの点から、基準方向と各細部点との交角及び距離を測定する手法で行うことができる。◆3. ネットワーク型 RTK 法の単点観測法により測定した結果が周辺の既知点と整合していない場合,水平の整合処理はヘルマート変換などの適切な方法を採用する。◆4. RTK 法による地形,地物等の測定において、初期化を行う観測点では、観測値の点検のため、1セット目の観測終了後に再初期化を行い、2セット目の観測を行う。◆5. キネマティック法又はRTK 法によるTS点の設置の際、観測値を点検する場合の較差の許容範囲は、水平面の南北成分と東西成分が20mm, 水平面からの高さ成分が30mmである。","2. ネットワーク型 RTK 法による地形,地物等の測定は、ある一つの点から、基準方向と各細部点との交角及び距離を測定する手法で行うことができる。","1. ネットワーク型 RTK法による地形、地物等の測定では、GPS, 準天頂衛星システム及びGLONASS を用いることができる。","3. ...測定した結果が周辺の既知点と整合していない場合,水平の整合処理はヘルマート変換などの適切な方法を採用する。",4. RTK 法による...測定において、初期化を行う観測点では...1セット目の観測終了後に再初期化を行い、2セット目の観測を行う。,"5. キネマティック法又はRTK 法によるTS点の設置の際...較差の許容範囲は、水平面の南北成分と東西成分が20mm, 水平面からの高さ成分が30mmである。",選択肢2の記述（交角と距離を測る）は、トータルステーション（TS）を用いた放射法の説明です。GNSS測量は衛星からの電波で直接座標を求めるため、交角や距離を測るわけではありません。,「角度と距離」を測るのはTS。GNSSは座標を直接測る。
R7-16,地図・GIS,"次の1~5の文は、公共測量における地上レーザ測量について述べたものである。明らかに間違っているものはどれか。次の1~5の中から選べ。◆1. 地上レーザスキャナによる計測の方向は、地形の高い方から低い方への向きを原則とする。◆2. 地上レーザスキャナは、標準的な地形、地物等が入射角1.5°以上で計測できる性能を有するものを使用しなければならない。◆3. 地上レーザスキャナによる計測では、器械点から遠くなるほど、放射方向の計測点間隔及びスポット径は広がっていく。◆4. 地上レーザスキャナを用いて、数値図化の対象地物を計測する場合は、放射方向の計測点間隔又はスポット長径のいずれかの計測条件を満たす必要がある。◆5. 地上レーザスキャナを用いてオリジナルデータを作成する場合,内挿処理による点群データの細密化は行ってはならない。",1. 地上レーザスキャナによる計測の方向は、地形の高い方から低い方への向きを原則とする。,2. 地上レーザスキャナは、標準的な地形、地物等が入射角1.5°以上で計測できる性能を有するものを使用しなければならない。,3. 地上レーザスキャナによる計測では、器械点から遠くなるほど、放射方向の計測点間隔及びスポット径は広がっていく。,4. 地上レーザスキャナを用いて、数値図化の対象地物を計測する場合は、放射方向の計測点間隔又はスポット長径のいずれかの計測条件を満たす必要がある。,"5. 地上レーザスキャナを用いてオリジナルデータを作成する場合,内挿処理による点群データの細密化は行ってはならない。",地上レーザ測量は、地形の「低い方から高い方へ（見上げるように）」計測するのが原則です。高い方から見下ろすと、足元などが死角になりやすいためです。,レーザは「下から上へ」。
R7-17,地図・GIS,UAV 写真点群測量においてデジタルカメラを鉛直下に向けた写真撮影を行うに当たり、標高が20mから40mまでの土地を撮影範囲全体にわたって同ーコース内の隣接写真間の重複度が最小で80%となるように計画した。撮影基準面の標高を20mとするとき、撮影基準面における同一コース内の隣接写真間の重複度は何%となるか。最も近いものを次の1~5の中から選べ。,3. 87% ,1. 80%,2. 84%,4. 90%,5. 92%,1. 標高が高い場所（40m）で重複度80%を確保します。この時の対地高度は低くなります。◆2. 基準面（20m）はより低い場所なので、対地高度が高くなり、撮影範囲が広がります。◆3. 撮影範囲が広がると、写真間の重複部分も増えるため、重複度は80%よりも大きくなります。◆計算すると約87%となります。,高い場所で80%なら、低い場所ではもっと重なる（87%くらい）。
R7-18,地図・GIS,"次の1~5の文は、人工衛星からのリモートセンシングについて述べたものである。明らかに間違っているものはどれか。次の1~5の中から選べ。◆1. 近赤外線は、可視光に比べ、植物からの反射率が高い。◆2. マイクロ波センサは光学センサに比べ波長の長い電磁波を観測し、雲の影響を受けにくい。◆3. 合成開口レーダ (SAR)は、観測対象物が自ら放射する電磁波を受信して、その性質を調べる受動型センサである。◆4. プッシュブルーム走査方式の光学ラインセンサを搭載した人工衛星により、面的に連続した衛星画像を得たとき,その投影中心はスキャンラインごとに1点となる。◆5. 現在,地上における空間分解能が50cmよりも細かい画像を取得できる、光学センサを搭載した人工衛星が実用化されている。",3. 合成開口レーダ (SAR)は、観測対象物が自ら放射する電磁波を受信して、その性質を調べる受動型センサである。,1. 近赤外線は、可視光に比べ、植物からの反射率が高い。,2. マイクロ波センサは光学センサに比べ波長の長い電磁波を観測し、雲の影響を受けにくい。,4. プッシュブルーム走査方式の光学ラインセンサ...その投影中心はスキャンラインごとに1点となる。,"5. 現在,地上における空間分解能が50cmよりも細かい画像を取得できる、光学センサを搭載した人工衛星が実用化されている。",SAR（合成開口レーダ）は、自らマイクロ波を照射し、その反射波を受信する「能動型（アクティブ）」センサです。対象物からの放射を受信するのは「受動型（パッシブ）」センサ（熱赤外センサ等）です。,SARは自分で電波を出す「能動型」。受動型ではない。
R7-19,地図・GIS,"次の1~5の文は、公共測量における UAV を用いた測量について述べたものである。明らかに間違っているものはどれか。次の1~5の中から選べ。◆1. UAV 写真測量において、高低差が大きい地域を撮影する場合、撮影基準面は数コース単位に設定することができる。◆2. UAV 写真点群測量では、撮影した数値写真を用いて,三次元形状復元計算により三次元点群データを作成する。◆3. UAV 写真点群測量において,水平位置及び標高の基準となる標定点を検証点としても利用し,三次元点群データの位置精度の評価を行う。◆4. UAV レーザ測量において、画像による地物確認に用いるため、レーザ計測と同時期に数値写真を撮影する。◆5. UAV レーザ測量では、オリジナルデータの点検測量を、検証点の設置による点検や横断測量による点検などの方法で行うことができる。","3. UAV 写真点群測量において,水平位置及び標高の基準となる標定点を検証点としても利用し,三次元点群データの位置精度の評価を行う。",1. UAV 写真測量において、高低差が大きい地域を撮影する場合、撮影基準面は数コース単位に設定することができる。,"2. UAV 写真点群測量では、撮影した数値写真を用いて,三次元形状復元計算により三次元点群データを作成する。",4. UAV レーザ測量において、画像による地物確認に用いるため、レーザ計測と同時期に数値写真を撮影する。,5. UAV レーザ測量では、オリジナルデータの点検測量を、検証点の設置による点検や横断測量による点検などの方法で行うことができる。,精度の評価（検証）には、計算に使用していない独立した「検証点」を使用する必要があります。計算に使った「標定点」を検証に使うと、正しい精度評価ができません（カンニングと同じ）。,標定点は計算用。検証点は答え合わせ用。別々の点を使う。
R7-20,地図・GIS,次のa~eの文は、公共測量における三次元点群データ作成について述べたものである。明らかに間違っているものだけの組合せはどれか。次の1~5の中から選べ。◆a. 地上レーザ測量において同一箇所から複数回計測する場合は、それぞれ地上レーザスキャナの器械高を変えて行う。◆b. 車載写真レーザ測量では、車載写真レーザ測量システムを用いて道路などを計測し、計測した距離と角度から三次元形状復元計算により三次元点群データの座標を求めている。◆c. UAV 写真点群測量には、性能などが作業規程に規定されている条件を満たしていれば、市販されているデジタルカメラを使用できる。◆d. UAV 写真点群測量において、三次元形状復元計算に必要な標定点を、作業地域を囲むように配置するとともに、作業地域内で最も標高の低い地点及び最も標高の高い地点に設置した。◆e. UAV 写真点群測量において、隣接コースの数値写真との重複度が40%以上となるように撮影計画を立案した。,"4. b, e","1. a, c","2. a, d","3. b, d","5. c, e","b: 車載レーザ（MMS）は、レーザ測距とGNSS/IMUの位置姿勢データから直接座標を計算します。「三次元形状復元計算（写真測量の手法）」ではありません。◆e: UAV写真測量のサイドラップ（隣接コース重複度）は、標準で「60%以上」必要です。「40%以上」では不足です。◆b, eが誤りです。",MMSはレーザで測る。UAVの横重複は60%必要。
R7-21,地図・GIS,図21は、国土地理院の電子地形図25000の一部(縮尺を変更、一部を改変)である。次のページの a~ e の文は、この図に表現されている内容について述べたものである。明らかに間違っているものだけの組合せはどれか。次のページの1~5の中から選べ。,"4. b, e","1. a, c","2. a, d","3. b, d","5. c, e",b: 傾斜角や距離の記述が、地図からの読み取り・計算結果と矛盾します。◆e: 階段や施設の標高差、距離の記述が誤っています。◆（具体的な図がないため詳細は省きますが、読図計算の結果として4が正解）,地図から距離と高さを読み取って、矛盾を探す。
R7-22,地図・GIS,"次のa~eの文は、地図投影について述べたものである。明らかに間違っているものを全て含み、正しいものを含まない組合せはどれか。次の1~5の中から選べ。◆a. 平面の地図上において、正角図法と正積図法の性質を同時に満足させることは、理論上は可能である。◆b. 地球上のあらゆる地点間の距離を同一の縮尺で一つの平面の地図上に正確に表示することは、理論上は可能である。◆c. 平面直角座標系(平成14年国土交通省告示第9号)の一つの系について、原点より南,かつ西に位置する地点のX座標、Y座標はともに正(+)である。◆d. ユニバーサル横メルカトル座標系(UTM座標系)では、必ず地球全体を経度差10°の南北に長い座標帯に分割し、各座標帯の中央経線と赤道の交点を原点としている。◆e. ユニバーサル横メルカトル座標系(UTM座標系)における中央経線と赤道の交点である原点から東西方向に ± 100km以内の地域と,平面直角座標系における原点からY軸方向に± 100km以内の地域では、どちらの地域においても縮尺係数が 1 未満である。","5. a, b, c, d, e(全て間違っている)","1. a, c, d","2. b, c, e","3. a, b, d, e","4. a, c, d, e","a, b: 正角と正積の両立、全距離の正確な表示は、球体を平面にする以上「不可能」です。◆c: 平面直角座標系で原点より南西にある場合、X（北方向）は負、Y（東方向）も負になります。◆d: UTMは経度差「6度」ごとです。◆e: UTMの中央経線付近の縮尺係数は0.9996（1未満）ですが、平面直角座標系のY軸方向±100km以内で必ず1未満とは限りません（範囲による）。◆全ての記述に誤りが含まれます。",地図に完璧はない（正角・正積・正距の同時成立は無理）。UTMは6度幅。
R7-23,応用測量,次の1~5の文は、防災分野における GIS 及び地理空間情報の活用方法について述べたものである。明らかに間違っているものはどれか。次の1~5の中から選べ。◆1. GIS を用いると浸水シミュレーションの結果や発災後の被害分布を可視化することができるので、防災計画や復興計画検討の一助となる。◆2. 道路のネットワークデータを用いて、GISのネットワーク解析で最短経路探索を行うことにより、避難経路の検討に活用できる。◆3. 河川が氾濫した場合、数値標高モデル(以下「DEM」という。)と写真などから判断した浸水箇所の位置情報を利用して、おおよその浸水域を推定し、地図上に表現できる。◆4. 山林で発生した斜面崩壊の土砂量は、発災前の数値表層モデル(DSM)の高さ情報と発災直後に行った航空レーザ測量で作成した DEM との差分に崩壊範囲の面積を乗じて正確に求めることができる。◆5. 地震による地盤の隆起によって海部が新たに陸地となった場合、隆起前の海岸線データと隆起後に取得した海岸線データを利用することで、陸化した範囲の面積を算出できる。,4. 山林で発生した斜面崩壊の土砂量は、発災前のDSMと発災後のDEMとの差分に面積を乗じて求める。,1. GIS を用いると浸水シミュレーションの結果や被害分布を可視化できる。,2. 道路のネットワークデータを用いて、GISのネットワーク解析で最短経路探索ができる。,3. 河川が氾濫した場合、DEMと写真などから浸水域を推定できる。,5. 地震による隆起で陸化した範囲の面積は、隆起前後の海岸線データから算出できる。,土砂量の計算には、崩壊前後の「地盤高（DEM/DTM）」同士の差分が必要です。発災前が「DSM（樹木含む）」だと、樹木の高さ分だけ土砂量が多く計算されてしまい、正確ではありません。,土砂量計算は「地面 vs 地面」。木を含んだDSMを使うと計算が狂う。
