"ID","問題","正解","選択肢2","選択-肢3","選択肢4","解説","ヒント"
"OIWA-39","資料が不明確な古い水路について、公図・過去文献の調査の他に何を行いましたか？","関係者聴取","現地での試掘調査","ドローンによる空撮","ボーリング調査","「公図・過去文献・関係者聴取により」権利関係等を整理した、とあります。","文献だけでなく、人からの情報も重要でした。"
"OIWA-40","古い水路の調査の主目的は何を整理することでしたか？","公私道区分や所有者・権利関係","水路の正確な断面積","水路の勾配","水路内の堆積物","「公私道区分や私道内水路の用途・所有者・権利関係を整理した」とあります。","誰のもので、どう使われているかを明確にしました。"
"OIWA-41","分流・細分化・既存ストック活用からなる具体策を提示する前段階として、何を行いましたか？","ネックポイントの特定","概算工事費の算出","住民説明会の開催","環境アセスメントの実施","「実態に即した流量計算と水理評価でネックポイントを特定し、分流・細分化・既存ストック活用からなる具体策を提示した」とあります。","対策を立てる前に、まず問題の核心を特定しました。"
"OIWA-42","生活道路での工事において、交通機能と施工性に配慮して組み込んだ計画に含まれるものはどれですか？","段階施工","夜間工事のみの実施","バイパス道路の建設","ヘリコプターによる資材搬入","「交通機能と施工性に配慮して段階施工・占用計画・仮復旧を組み込み」とあります。","一度に全部やらず、段階を踏んで進める工夫です。"
"OIWA-43","合意形成を進める上で連携を図った施設として、本文中で4つ挙げられているもののうち、適切でないものはどれですか？","学校","河川","下水道","公園","本文には「河川・下水道・道路・公園の施設連携」とあります。","公共インフラ関連の管理者を思い出しましょう。"
"OIWA-44","上流側放流先河川の設計への反映にあたり、最終的に何を確認しましたか？","流量・水位条件の適合性","工事費の妥当性","環境への影響度","住民の同意","「当該区間の流量・水位条件の適合性を確認した上で設計に反映し」とあります。","協議した条件が、実際の設計にきちんと合っているかを確認しました。"
"OIWA-45","「現時点での評価」の記述から、この計画が技術的に最もバランスを取ろうとしたことは何ですか？","分流幹線と排水区域の細分化のバランス","コストと工期のバランス","安全性と利便性のバランス","開発と環境保全のバランス","「これには、分流幹線と排水区域の細分化のバランスを取り」とあります。","大きな対策と小さな対策の組み合わせを最適化しました。"
"OIWA-46","「技術上の問題点」の記述にはないが、「評価」の記述で加えられている、技術的工夫がもたらした効果は何ですか？","コスト削減","施工実現性の向上","下流負荷の適正化","浸水被害の軽減","「コスト削減にも繋がった」という記述は「評価」のセクションで初めて登場します。他は技術上の問題点のセクションにも記載があります。","この計画の良い点をもう一つ付け加えるとしたら？"
"OIWA-47","この業務全体を通じて、あなたが主担当者として最も多く行ったことは何と言えますか？","発注者及び関係者との協議・調整","測量及び設計計算","施工業者への指示・監督","報告書及び論文の執筆","役割、実施上の問題点、評価の各所に「協議」「調整」「連携」「合意形成」といった言葉が頻出します。","様々な人の間に立ち、物事を前に進める役割です。"
"OIWA-48","分流幹線を1400x1400から1200x1200へ縮小できた直接の理由は何ですか？","上流側河川の流下能力に余裕があることを確認できたから","より安価な材料が見つかったから","国の設計基準が変更されたから","発注者から強いコスト削減要請があったから","「当該区間の流下能力を事前に確認し、許容放流量を踏まえた」結果として管径を縮小できています。","流し込んでも大丈夫、という確証が得られたことが鍵です。"
"OIWA-49","大規模な開削を回避する「越流壁」の設置は、3つの基本方針（分流・細分化・既存ストック活用）のうち、主にどれに該当しますか？","既存ストックの有効活用","分流","細分化","上記全て","既存の幹線水路という「ストック」の中に壁を設置するため、「既存ストックの有効活用」の最も代表的な例です。","今あるものを最大限に活かす工夫です。"
"OIWA-50","業務実施上の課題であった「短期工期」と「住宅街」という条件に対し、あなたが取ったアプローチの組み合わせとして最適なものはどれですか？","フロントローディングな姿勢と、住民への安全配慮","最新技術の導入と、夜間集中工事","人員の大量投入と、簡素な工法への変更","発注者との密な連携と、メディアへの広報活動","短期工期へは「フロントローディング」で、住宅街へは「住民への周知・安全配慮」で対応しました。","課題と対策を正しく結びつけましょう。"
"OIWA-51","「手戻り」を抑制するために実施した「現地合同踏査」は、誰と誰とで行いましたか？","測量班・発注者","住民代表・市議会議員","施工業者・設計者","警察・消防","「測量班・発注者との現地合同踏査を実施し、手戻りを抑制した」とあります。","実際に作業する人と、仕事を発注した人が一緒に現場を確認しました。"
"OIWA-52","この業務であなたが立案した計画が「実現性が高い」とされる理由として、適切でないものはどれですか？","国の補助金を最大限に活用したから","技術的に施工可能だから","下流への影響など周辺環境に配慮しているから","関係者との合意形成を図ったから","本文では、技術的実現性、周辺環境への配慮、関係者との合意形成が「実現性」の根拠となっています。補助金については言及されていません。","計画が「絵に描いた餅」で終わらないための要素です。"
"OIWA-53","「フロントローディング」な姿勢の一環として挙げられる「関係者協議の早期実施」の最大のメリットは何ですか？","相互理解を深め、手戻りを抑制できること","協議の回数を減らし、時間を短縮できること","早い段階で予算を確定できること","メディアに先進的な取り組みとしてアピールできること","「関係者協議の早期に行い、相互理解を深め、手戻りを抑制した」とあります。","後から「話が違う」となるのを防ぎます。"
"OIWA-54","この業務における「浸水要因の特定」から「具体策の提示」までのプロセスとして正しい順序はどれですか？","情報収集 → ネックポイント特定 → 解決策検討","解決策検討 → 情報収集 → ネックポイント特定","ネックポイント特定 → 解決策検討 → 情報収集","情報収集 → 解決策検討 → ネックポイント特定","業務内容や問題点の記述から、まず情報を集め、次に原因（ネック）を突き止め、最後に対策を考えたことがわかります。","物事を解決するときの基本的な手順を考えましょう。"
"OIWA-55","この業務の計画は、河川、下水道、道路、公園という複数のインフラの何を重視したものですか？","施設連携","個別最適化","民営化","統廃合","「河川・下水道・道路・公園の施設連携を図りながら合意形成を進めた」とあります。","それぞれの施設がバラバラに機能するのではなく、協力し合うことを目指しました。"
"OIWA-56","「下流負荷の適正化」とは、具体的にどのような状態を目指すことですか？","下流に流す水量を安全な範囲に抑えること","下流の管渠をすべて新しくすること","下流に一切水を流さないようにすること","下流に流す水の水質を改善すること","「放流先への流量が過大となり、別地点での浸水の誘発が懸念された」ことへの対策なので、水量を適切にコントロールすることが目的です。","下流に迷惑をかけない、ということです。"
"OIWA-57","「土被りの確保」がなぜ重要なのでしょうか？","管路の保護と地上交通の安全のため","地下水の浸透を防ぐため","管路の温度を一定に保つため","埋設費用を削減するため","土被りは、管の上に載る土の厚みのことです。これが不足すると、地上の車の重みで管が壊れたり、道路が陥没したりする危険があります。","地面の下に物を埋めるときの基本です。"
"OIWA-58","「占用計画」とは、主に何に関する計画ですか？","工事のために一時的に道路などを使用すること","工事用地を国から借りること","完成後の施設の所有権を定めること","水利権を確保すること","工事のために公道や河川敷などを一時的に使用（占用）する際には、その範囲や期間について管理者の許可を得るための計画が必要です。","公共のスペースを工事で「借りる」ための計画です。"
"OIWA-59","この業務報告書全体から、あなたが最も重視した技術者倫理は何と考えられますか？","公衆の安全と福利の増進","地球環境の保全","技術の継承と後進の育成","中立公正な立場の堅持","浸水被害の軽減（安全）や住民生活への配慮（福利）が計画の根幹にあり、技術者倫理の最優先事項である「公衆への奉仕」を実践しています。","技術者は誰のために仕事をするのか、という視点です。"
"OIWA-60","あなたが主担当者として、この業務で最終的に発注者に提出した成果品は何ですか？","浸水対策に関する「基本設計」","浸水対策に関する「実施設計」","工事積算書","維持管理マニュアル","業務名称が「雨水管渠実施設計（基本設計）業務委託」とある通り、この段階での成果品は「基本設計」です。","業務のゴールは何だったかを思い出しましょう。"
"ID","問題","正解","選択肢2","選択-肢3","選択肢4","解説","ヒント"
"OIWA-61","「技術上の問題点」と「業務実施上の問題点」の両方で共通して対処した、既存の対象物は何ですか？","既存の水路（幹線）","隣接する急傾斜河川","公園","緊急車両通行路","技術上の問題点では「既存幹線内に越流壁」を、業務実施上の問題点では「資料が不明確な古い水路」の調査を行っており、既存水路が両方で重要なテーマでした。","新しく作るだけでなく、すでにあるものをどう扱うかが鍵でした。"
"OIWA-62","この業務の3つの基本方針（分流・細分化・既存ストック活用）が目指した、最も根幹にある思想は何ですか？","下流への影響を最小限に抑えつつ、浸水被害を軽減すること","最新技術を駆使して、未来の都市モデルを提示すること","コストを度外視してでも、完璧な安全性を追求すること","自然の力を最大限に利用し、人工構造物を減らすこと","単純な改築による下流への流量増大（影響）を懸念したことから、影響をコントロールしつつ目的を達成することが根幹にある思想です。","自分たちのエリアさえ良ければ良い、という考え方ではありませんでした。"
"OIWA-63","なぜこの業務では「フロントローディング」な姿勢が特に重要だったのですか？","短期工期の中で、手戻りを防ぎ効率的に進める必要があったから","発注者の予算が年度末に確定するから","多くの住民が計画に反対していたから","過去に類似業務で大きな失敗があったから","評価のセクションで「短期工期であったことから、フロントローディングな姿勢での対応を心掛け」たとあり、手戻り抑制に繋がったと結論付けています。","時間が無い中での「やり直し」は致命的です。"
"OIWA-64","「既存幹線内に越流壁を設置」という解決策は、どのような制約条件から生まれましたか？","分流点での大規模な開削は交通影響が大きいという制約","用地買収が不可能であるという制約","最新のシールド工法が使えないという制約","地下水位が非常に高いという制約","「分流点では大型桝の設置は交通影響が大きいため」という交通上の制約が、大規模開削を回避する越流壁のアイデアに繋がりました。","もし交通の制約がなければ、別の工法だったかもしれません。"
"OIWA-65","あなたが主担当者として行った「権利関係の整理」は、後工程の何に直接影響しましたか？","円滑な合意形成と、実態に即した設計","工事費の削減","工期の短縮","測量精度の向上","業務実施上の問題点で、権利関係の整理など「基礎整理」を行った上で、具体策の提示や合意形成を進めたとあります。これがなければ計画が頓挫する可能性がありました。","誰のものか分からない土地では、計画も工事も進められません。"
"OIWA-66","この計画における「分流」と、業務④（土岐市）における「床固工群」の共通の目的は何ですか？","水のエネルギーを管理・制御すること","道路の安全性を確保すること","施工性を向上させること","景観に配慮すること","分流は水量を、床固工は流速（エネルギー）をコントロールします。どちらも水の力を適切に管理し、被害を防ぐという点で目的が共通しています。","水の「量」と「勢い」をどう扱うか、という視点です。"
"OIWA-67","この業務の「基本設計」段階で、河川管理者と協議・確認まで済ませたことの意義は何ですか？","後工程（実施設計や工事）での「実現性」を確かなものにすること","基本設計の委託料を増額してもらうこと","他の関連工事を中止させること","事業のPRを早期に行うこと","「実現性の高い計画として取りまとめ」とあるように、机上の空論で終わらせないために、早い段階で関係者との間で技術的な見通しを立てたことが重要です。","「多分できるだろう」ではなく、「できることを確認した」のがポイントです。"
"OIWA-68","「浸水要因の特定」において、最も重要だった作業は何ですか？","情報の綿密な収集","最新のシミュレーションソフトの活用","住民へのヒアリング","過去の災害記録の分析","業務内容の冒頭に「本排水区における情報の綿密な収集を行い、浸水要因の特定と解決策を検討した」とあり、全ての分析は情報収集から始まります。","正しい診断は、正しい問診と検査から始まります。"
"OIWA-69","この業務と業務⑤（小牧市）に共通する目的は何ですか？","浸水被害の軽減","道路交通の円滑化","河川護岸の安定","施設の長寿命化","どちらの業務も、アプローチは異なりますが「浸水被害の軽減（対策）」という大きな目的は共通しています。","2つの雨水対策業務の違いと共通点を整理しましょう。"
"OIWA-70","「流水断面の不足」という課題に対し、この計画が取ったアプローチを最もよく表す言葉はどれですか？","水の流れを賢く「マネジメント」する","不足断面をひたすら「拡大」する","水を高速で「排出」する","水を地下に「浸透」させる","単純に断面を拡大するのではなく、分流や細分化によって水の流れを管理（マネジメント）することで解決を図りました。","力技で解決するのではなく、知恵で解決しました。"
"OIWA-71","もし「フロントローディング」な姿勢で業務に臨まなかった場合、最も懸念されたリスクは何ですか？","終盤での大規模な手戻りの発生","初期段階での予算超過","住民からの苦情の増加","設計ミスの発生","評価のセクションで、フロントローディングが「手戻りを抑制した」と結論づけられています。これが無ければ、最後の最後で計画が覆るような事態が懸念されました。","後になって「これはできない」と判明するのが最悪のシナリオです。"
"OIWA-72","「施工実現性の高い計画」と言える根拠として、本文に書かれていないものはどれですか？","特殊な技術や高価な資材が不要であること","大規模な開削を回避していること","埋設物との干渉を低減していること","関係者との合意形成を進めていること","開削回避、干渉低減、合意形成は本文にありますが、資材や技術の特殊性については言及されていません。","なぜ「実現性が高い」と言えるのか、理由を複数思い出しましょう。"
"OIWA-73","あなたが果たした役割で、技術的な側面（計画立案）と、社会的な側面（合意形成）をつなぐ重要な業務は何ですか？","発注者及び関係者との協議・調整","綿密な情報収集","現地合同踏査の実施","業務の円滑な遂行","「協議・調整」は、技術的に正しい計画を、社会的に受け入れられる形に落とし込むための橋渡しとなる業務です。","技術だけでも、交渉だけでもダメ。その両方をつなぐのがあなたの役割です。"
"OIWA-74","この業務報告書は、ある一つの課題に対して、複数の解決策をどのように扱ったと読み取れますか？","複数の解決策をバランス良く組み合わせた","最も安価な解決策を一つだけ選んだ","最も効果の高い解決策を一つだけ選んだ","全ての解決策を同時に実施した","分流、細分化、既存ストック活用という複数の解決策を組み合わせ、その「バランス」を重視したと評価に書かれています。","特効薬一つに頼るのではなく、漢方薬のように複合的に対処しました。"
"OIWA-75","「排水区域の細分化」というアプローチが有効だったのはなぜですか？","既存水路の能力を最大限に活用し、再配分できるから","排水区域ごとの住民の意見を反映しやすいから","工事を小さなエリアごとに行えるから","浸水の原因を特定しやすくなるから","本文には「排水区域を細分化して既存水路の流路を制限・再配分した」とあり、既存ストック活用のための手法であることがわかります。","大きな一つの流れを、管理しやすい複数の小さな流れに変えました。"
"OIWA-76","この計画が「下流負荷の適正化」を実現できた最大の要因は何ですか？","単純に幹線水路へ直接接続しなかったこと","下流の幹線水路をすべて改築したこと","下流に巨大な調整池を新設したこと","下流でのポンプ排水能力を強化したこと","「水路を改築し幹線水路へ直接接続すると、放流先への流量が過大となり」という懸念を回避したことが、下流負荷の適正化に繋がりました。","やってはいけないことを、やらなかった。それが一番の要因です。"
"OIWA-77","「技術上の問題点」と「現時点での評価」で共通して言及されている、この計画の重要な成果の組み合わせはどれですか？","浸水被害軽減と施工実現性","コスト削減と工期短縮","下流負荷の適正化と景観への配慮","住民満足度の向上と維持管理費の低減","「浸水被害を軽減し、施工実現性の高い計画とした」という表現は両方のセクションで使われており、この計画の根幹となる成果です。","この業務の最大のセールスポイントは何だったでしょうか。"
"OIWA-78","あなたが主担当者として最も困難だったと推測される業務は何ですか？","多岐にわたる関係者との合意形成","複雑な水理計算","短期工期の中での測量管理","不明確な資料の解読","技術的な課題は解決策がありますが、利害の異なる複数の関係者全員の合意を得ることは、報告書の記述全体から最も困難で重要な業務だったと推測されます。","答えが一つではない問題にどう対処したか、が腕の見せ所です。"
"OIWA-79","この報告書から、優れた技術者には、技術力以外に特にどのような能力が求められると読み取れますか？","コミュニケーション能力と調整能力","リーダーシップと決断力","コスト意識と経営感覚","語学力と国際感覚","協議、調整、連携、合意形成といった言葉が頻出することから、他者と効果的に意思疎通を図り、物事を前に進める能力の重要性が読み取れます。","良いものを作る力と、それを実現させる力は別です。"
"OIWA-80","「既存ストックの有効活用」という考え方は、現代の社会においてどのような意義を持ちますか？","持続可能性（サステナビリティ）の実現","スクラップアンドビルドの推進","グローバル化への対応","技術革新の促進","今あるものを最大限活用し、無駄な開発を抑える考え方は、環境負荷を低減し、経済的な社会を維持する「持続可能性」に直結します。","SDGsにも通じる考え方です。"
"OIWA-81","本業務で「測量」が特に重要だった理由は何ですか？","資料が不明確な古い水路の実態を把握する必要があったから","最新の3Dマップを作成するため","工事の概算費用を算出するため","住民に事業の進捗を示すため","「資料が不明確な古い水路」の実態を正確に把握し、「実態に即した流量計算と水理評価」を行うために、測量による現況把握が不可欠でした。","設計のスタートラインとなる、正確な現状把握のためです。"
"OIWA-82","「仮復旧」はどのような目的で行われますか？","工事中の住民の生活利便性を一時的に確保するため","本復旧までのコストを削減するため","工事の遅れを取り戻すため","新しい工法の実験のため","段階施工などで、一度掘削した場所を次の工事段階まで一時的に埋め戻して通れるようにするのが仮復旧です。住民の生活への影響を最小限にします。","工事が終わるまでずっと通行止め、というわけにはいきません。"
"OIWA-83","分流幹線を縮小できたことで「土被り」を確保できましたが、これが不足するとどのようなリスクがありますか？","道路の陥没や管路の破損","管路内の水の凍結","地下水による管路の浮き上がり","雑草の繁茂","管の上の土の厚みが不足すると、地上の自動車などの重さに耐えきれず、管が破損したり道路が陥没したりするリスクが高まります。","浅い場所に埋めると壊れやすくなります。"
"OIWA-84","この業務におけるあなたの役割は、プロジェクトマネジメントにおけるどの役割に最も近いですか？","プロジェクトマネージャー","テクニカルスペシャリスト","品質管理者","リスク管理者","計画の立案、関係者との調整、円滑な業務遂行の実現など、プロジェクト全体を俯瞰し、成功に導く役割はプロジェクトマネージャーに非常に近いです。","チーム全体のかじ取り役です。"
